        Time           Yp           Bp            Y            B            R           ET           W0           W1           W2           W3           W4           WS           WL            A           Ap
    0.000000         1747           50         6489           45           32         4500           97          912         1907         1361          223         2369          475         4441           59
    0.010000         1644           49         6592           46           34         4500           97          912         1907         1361          223         1799         2249         4454           46
    0.000000         1747           50         6489           45           32         4500           97          912         1907         1361          223         2369          475         4441           59
    0.010000         1665           48         6571           47           27         4500           97          913         1906         1361          223         1750         2247         4452           48
    0.000000         1747           50         6489           45           32         4500           97          912         1907         1361          223         2369          475         4441           59
    0.010000         1665           48         6571           47           27         4500           97          913         1906         1361          223         1750         2247         4452           48
    0.000000         1747           50         6489           45           32         4500           97          912         1907         1361          223         2369          475         4441           59
    0.010000         1644           49         6592           46           34         4500           97          912         1907         1361          223         1799         2249         4454           46
    0.000000         1747           50         6489           45           32         4500           97          912         1907         1361          223         2369          475         4441           59
    0.010000         1665           48         6571           47           27         4500           97          913         1906         1361          223         1750         2247         4452           48
    0.000000         1747           50         6489           45           32         4500           97          912         1907         1361          223         2369          475         4441           59
    0.010000         1665           48         6571           47           27         4500           97          913         1906         1361          223         1750         2247         4452           48
    0.000000         1747           50         6489           45           32         4500           97          912         1907         1361          223         2369          475         4441           59
    0.010000         1665           48         6571           47           27         4500           97          913         1906         1361          223         1750         2247         4452           48
    0.000000         1747           50         6489           45           32         4500           97          912         1907         1361          223         2369          475         4441           59
    0.010000         1644           49         6592           46           34         4500           97          912         1907         1361          223         1799         2249         4454           46
    0.000000         1747           50         6489           45           32         4500           97          912         1907         1361          223         2369          475         4441           59
    0.010000         1657           52         6579           45           34         4500           97          914         1908         1358          223         1778         2246         4456           44
    0.000000         1747           50         6489           45           32         4500           97          912         1907         1361          223         2369          475         4441           59
    0.010000         1657           52         6579           45           34         4500           97          914         1908         1358          223         1778         2246         4456           44
    0.020000         1642           52         6594           45           34         4500           97          914         1908         1358          223         2293          509         4423           77
    0.020000         1650           48         6586           48           26         4500           97          913         1905         1361          224         2369          481         4439           61
    0.020000         1650           48         6586           48           26         4500           97          913         1905         1361          224         2369          481         4439           61
    0.020000         1650           48         6586           48           26         4500           97          913         1905         1361          224         2369          481         4439           61
    0.020000         1639           54         6597           45           37         4500           97          913         1907         1360          223         2355          510         4429           71
    0.020000         1639           54         6597           45           37         4500           97          913         1907         1360          223         2355          510         4429           71
    0.020000         1639           54         6597           45           37         4500           97          913         1907         1360          223         2355          510         4429           71
    0.020000         1650           48         6586           48           26         4500           97          913         1905         1361          224         2369          481         4439           61
    0.020000         1642           52         6594           45           34         4500           97          914         1908         1358          223         2293          509         4423           77
    0.020000         1650           48         6586           48           26         4500           97          913         1905         1361          224         2369          481         4439           61
    0.030000         1705           49         6531           45           36         4500           97          914         1908         1358          223         2332          494         4436           64
    0.030000         1705           49         6531           45           36         4500           97          914         1908         1358          223         2331          495         4436           64
    0.030000         1690           46         6546           51           28         4500           97          912         1906         1361          224         2319          469         4437           63
    0.030000         1697           54         6539           46           36         4500           97          913         1906         1361          223         2332          503         4431           69
    0.030000         1697           54         6539           46           36         4500           97          913         1906         1361          223         2332          505         4431           69
    0.030000         1691           46         6545           51           28         4500           97          912         1906         1361          224         2318          470         4437           63
    0.030000         1697           54         6539           46           36         4500           97          913         1906         1361          223         2332          505         4431           69
    0.030000         1691           46         6545           51           28         4500           97          912         1906         1361          224         2318          470         4437           63
    0.030000         1690           46         6546           51           28         4500           97          912         1906         1361          224         2319          469         4437           63
    0.030000         1690           46         6546           51           28         4500           97          912         1906         1361          224         2319          470         4437           63
    0.040000         1698           49         6538           51           31         4500           97          913         1905         1361          224         2336          501         4417           83
    0.040000         1760           54         6476           46           37         4500           97          914         1904         1362          223         2306          513         4444           56
    0.040000         1695           52         6541           45           37         4500           97          914         1908         1357          224         2352          472         4418           82
    0.040000         1760           54         6476           46           37         4500           97          914         1904         1362          223         2307          513         4444           56
    0.040000         1695           52         6541           45           37         4500           97          914         1908         1357          224         2352          472         4418           82
    0.040000         1760           54         6476           46           37         4500           97          914         1904         1362          223         2306          513         4444           56
    0.040000         1697           49         6539           51           31         4500           97          913         1905         1361          224         2336          504         4417           83
    0.040000         1697           49         6539           51           31         4500           97          913         1905         1361          224         2336          504         4417           83
    0.040000         1697           49         6539           51           31         4500           97          913         1905         1361          224         2336          505         4417           83
    0.040000         1698           49         6538           51           31         4500           97          913         1905         1361          224         2336          503         4417           83
    0.050000         1741           51         6495           50           34         4500           97          912         1905         1362          224         2342          495         4440           60
    0.050000         1734           51         6502           46           36         4500           96          916         1907         1357          224         2350          506         4426           74
    0.050000         1742           52         6494           45           36         4500           97          914         1904         1362          223         2382          464         4430           70
    0.050000         1742           52         6494           45           36         4500           97          914         1904         1362          223         2382          465         4430           70
    0.050000         1741           51         6495           50           34         4500           97          912         1905         1362          224         2342          495         4439           61
    0.050000         1742           52         6494           45           36         4500           97          914         1904         1362          223         2382          465         4430           70
    0.050000         1740           51         6496           50           34         4500           97          912         1905         1362          224         2341          495         4440           60
    0.050000         1734           51         6502           46           36         4500           96          916         1907         1357          224         2350          511         4426           74
    0.050000         1740           51         6496           50           34         4500           97          912         1905         1362          224         2341          495         4440           60
    0.050000         1740           51         6496           50           34         4500           97          912         1905         1362          224         2341          495         4440           60
    0.060000         1784           54         6452           50           34         4500           97          911         1906         1362          224         2329          473         4428           72
    0.060000         1782           54         6454           50           34         4500           97          911         1906         1362          224         2328          477         4428           72
    0.060000         1783           54         6453           50           34         4500           97          911         1906         1362          224         2328          477         4428           72
    0.060000         1788           51         6448           45           34         4500           96          916         1906         1358          224         2374          485         4443           57
    0.060000         1741           54         6495           44           37         4500           97          913         1906         1361          223         2320          465         4430           70
    0.060000         1740           54         6496           44           37         4500           97          913         1906         1361          223         2320          464         4430           70
    0.060000         1782           54         6454           50           34         4500           97          911         1906         1362          224         2328          477         4428           72
    0.060000         1788           51         6448           45           34         4500           96          916         1906         1358          224         2374          486         4443           57
    0.060000         1740           54         6496           44           37         4500           97          913         1906         1361          223         2320          461         4430           70
    0.060000         1782           54         6454           50           34         4500           97          911         1906         1362          224         2327          479         4428           72
    0.070000         1794           52         6442           50           33         4500           97          911         1905         1363          224         2349          495         4441           59
    0.070000         1794           52         6442           50           33         4500           97          911         1905         1363          224         2349          493         4441           59
    0.070000         1795           52         6441           50           33         4500           97          911         1905         1363          224         2349          492         4441           59
    0.070000         1786           55         6450           45           38         4500           97          912         1908         1359          224         2325          482         4433           67
    0.070000         1794           52         6442           50           33         4500           97          911         1905         1363          224         2349          493         4441           59
    0.070000         1784           56         6452           45           38         4500           97          912         1908         1359          224         2324          484         4433           67
    0.070000         1737           48         6499           46           36         4500           96          915         1908         1357          224         2322          506         4445           55
    0.070000         1797           52         6439           50           33         4500           97          911         1905         1363          224         2350          491         4441           59
    0.070000         1737           48         6499           46           36         4500           96          915         1908         1357          224         2323          502         4445           55
    0.070000         1786           55         6450           45           38         4500           97          912         1908         1359          224         2325          482         4433           67
    0.080000         1755           51         6481           51           34         4500           97          909         1906         1364          224         2375          482         4423           77
    0.080000         1751           51         6485           51           34         4500           97          909         1906         1364          224         2373          487         4423           77
    0.080000         1788           49         6448           45           37         4500           96          915         1908         1357          224         2317          511         4431           69
    0.080000         1751           51         6485           51           34         4500           97          909         1906         1364          224         2373          487         4423           77
    0.080000         1788           49         6448           45           37         4500           96          915         1908         1357          224         2318          505         4431           69
    0.080000         1784           60         6452           44           38         4500           97          912         1909         1358          224         2316          463         4418           82
    0.080000         1752           51         6484           51           34         4500           97          909         1906         1364          224         2373          485         4423           77
    0.080000         1751           51         6485           51           34         4500           97          909         1906         1364          224         2373          487         4423           77
    0.080000         1785           59         6451           44           38         4500           97          912         1909         1358          224         2317          463         4417           83
    0.080000         1785           59         6451           44           38         4500           97          912         1909         1358          224         2318          457         4417           83
    0.090000         1838           51         6398           44           38         4500           96          916         1907         1357          224         2318          524         4435           65
    0.090000         1810           59         6426           44           37         4500           98          911         1910         1357          224         2334          446         4422           78
    0.090000         1756           55         6480           51           33         4500           97          910         1907         1362          224         2360          478         4426           74
    0.090000         1752           55         6484           51           33         4500           97          910         1907         1362          224         2357          485         4426           74
    0.090000         1810           60         6426           44           37         4500           98          911         1910         1357          224         2333          451         4423           77
    0.090000         1810           59         6426           44           37         4500           98          911         1910         1357          224         2333          448         4422           78
    0.090000         1752           55         6484           51           33         4500           97          910         1907         1362          224         2356          486         4426           74
    0.090000         1751           55         6485           51           33         4500           97          910         1907         1362          224         2355          490         4426           74
    0.090000         1752           55         6484           51           33         4500           97          910         1907         1362          224         2356          486         4426           74
    0.090000         1837           51         6399           44           38         4500           96          916         1907         1357          224         2317          526         4435           65
    0.100000         1770           56         6466           52           37         4500           97          910         1905         1364          224         2347          496         4429           71
    0.100000         1766           56         6470           52           37         4500           97          910         1905         1364          224         2347          502         4429           71
    0.100000         1784           62         6452           43           37         4500           98          911         1910         1357          224         2342          474         4427           73
    0.100000         1784           62         6452           43           37         4500           98          911         1910         1357          224         2343          468         4427           73
    0.100000         1767           56         6469           52           37         4500           97          910         1905         1364          224         2346          506         4429           71
    0.100000         1785           63         6451           43           37         4500           98          911         1910         1357          224         2338          477         4426           74
    0.100000         1766           56         6470           52           37         4500           97          910         1905         1364          224         2344          509         4429           71
    0.100000         1797           51         6439           45           36         4500           96          916         1907         1357          224         2326          501         4423           77
    0.100000         1767           56         6469           52           37         4500           97          910         1905         1364          224         2346          506         4429           71
    0.100000         1799           51         6437           45           36         4500           96          916         1907         1357          224         2327          491         4423           77
    0.110000         1835           58         6401           43           40         4500           98          911         1909         1358          224         2362          477         4429           71
    0.110000         1779           47         6457           45           34         4500           96          916         1905         1360          223         2344          506         4433           67
    0.110000         1757           50         6479           52           35         4500           97          910         1905         1364          224         2356          478         4438           62
    0.110000         1834           59         6402           43           40         4500           98          911         1909         1358          224         2353          486         4429           71
    0.110000         1833           58         6403           43           40         4500           98          911         1909         1358          224         2356          479         4429           71
    0.110000         1757           50         6479           52           35         4500           97          910         1905         1364          224         2354          483         4438           62
    0.110000         1781           47         6455           45           34         4500           96          916         1905         1360          223         2343          502         4433           67
    0.110000         1757           50         6479           52           35         4500           97          910         1905         1364          224         2354          483         4438           62
    0.110000         1759           50         6477           52           35         4500           97          910         1905         1364          224         2360          469         4438           62
    0.110000         1755           50         6481           52           35         4500           97          910         1905         1364          224         2354          483         4438           62
    0.120000         1757           51         6479           52           36         4500           97          912         1903         1364          224         2350          483         4430           70
    0.120000         1830           61         6406           42           42         4500           98          910         1909         1358          225         2289          491         4438           62
    0.120000         1756           51         6480           52           36         4500           97          912         1903         1364          224         2348          489         4430           70
    0.120000         1755           51         6481           52           36         4500           97          912         1903         1364          224         2346          490         4431           69
    0.120000         1757           51         6479           52           36         4500           97          912         1903         1364          224         2347          490         4430           70
    0.120000         1831           62         6405           42           42         4500           98          910         1909         1358          225         2282          495         4437           63
    0.120000         1757           51         6479           52           36         4500           97          912         1903         1364          224         2347          490         4430           70
    0.120000         1725           48         6511           45           33         4500           96          916         1905         1360          223         2361          478         4433           67
    0.120000         1826           61         6410           42           42         4500           98          910         1909         1358          225         2288          493         4438           62
    0.120000         1727           48         6509           45           33         4500           96          916         1905         1360          223         2361          467         4433           67
    0.130000         1829           60         6407           42           40         4500           98          910         1909         1358          225         2385          506         4421           79
    0.130000         1833           60         6403           42           40         4500           98          910         1909         1358          225         2386          498         4421           79
    0.130000         1781           52         6455           51           38         4500           97          910         1905         1364          224         2353          498         4431           69
    0.130000         1832           61         6404           42           39         4500           98          910         1909         1358          225         2383          508         4419           81
    0.130000         1787           49         6449           43           30         4500           96          916         1905         1360          223         2342          507         4433           67
    0.130000         1788           49         6448           43           30         4500           96          916         1905         1360          223         2345          497         4433           67
    0.130000         1780           52         6456           51           38         4500           97          910         1905         1364          224         2353          487         4430           70
    0.130000         1780           52         6456           51           38         4500           97          910         1905         1364          224         2351          502         4431           69
    0.130000         1781           52         6455           51           38         4500           97          910         1905         1364          224         2353          498         4431           69
    0.130000         1780           52         6456           51           38         4500           97          910         1905         1364          224         2352          496         4431           69
    0.140000         1747           53         6489           52           37         4500           97          909         1906         1363          225         2342          491         4422           78
    0.140000         1792           51         6444           42           28         4500           96          917         1904         1360          223         2332          491         4427           73
    0.140000         1744           53         6492           52           37         4500           97          909         1906         1363          225         2338          492         4422           78
    0.140000         1814           56         6422           43           37         4500           98          910         1908         1359          225         2385          507         4433           67
    0.140000         1746           53         6490           52           37         4500           97          909         1906         1363          225         2345          482         4422           78
    0.140000         1819           55         6417           43           38         4500           98          910         1908         1359          225         2382          497         4430           70
    0.140000         1746           53         6490           52           37         4500           97          909         1906         1363          225         2342          487         4422           78
    0.140000         1747           53         6489           52           37         4500           97          909         1906         1363          225         2342          490         4422           78
    0.140000         1811           55         6425           43           38         4500           98          910         1908         1359          225         2382          499         4430           70
    0.140000         1794           51         6442           42           28         4500           96          917         1904         1360          223         2335          480         4427           73
    0.150000         1780           51         6456           43           37         4500           98          910         1909         1358          225         2331          491         4443           57
    0.150000         1793           51         6443           44           28         4500           96          917         1904         1360          223         2337          478         4421           79
    0.150000         1771           52         6465           43           36         4500           98          910         1909         1358          225         2329          491         4441           59
    0.150000         1774           55         6462           52           37         4500           97          909         1906         1363          225         2298          505         4407           93
    0.150000         1772           55         6464           52           37         4500           97          909         1906         1363          225         2302          492         4406           94
    0.150000         1774           55         6462           52           37         4500           97          909         1906         1363          225         2298          504         4407           93
    0.150000         1773           55         6463           52           37         4500           97          909         1906         1363          225         2297          512         4408           92
    0.150000         1773           55         6463           52           37         4500           97          909         1906         1363          225         2298          500         4406           94
    0.150000         1791           51         6445           44           28         4500           96          917         1904         1360          223         2336          490         4421           79
    0.150000         1785           51         6451           43           37         4500           98          910         1909         1358          225         2337          479         4442           58
